,Operador,cant_Accidentes
438,Sociedad Aeronautica Medellin,2
439,Loide Aereo Nacional,2
440,Air Outre-Mer,1
441,Loide Aéreo Nacional,4
442,Trans Australia Airlines,3
443,Societe Alpes Provence,1
444,Military - US Air Force,8
445,Frigorifico Cooperativo Los Andes,1
446,Aero Transportes,1
447,Military - Guatemalan Air Force,1
448,Military - U. S. Air Force,1
449,Devlet Hava Yollari,4
450,El Al,3
451,Lineas Aereas Unidas,1
452,Miami Airlines,2
453,Continental Charters,1
454,Kalinga Airlines,7
455,Aer Lingus,2
456,STAAP,1
457,Military - U.S. Air Force / U.S. Air Force,2
458,Maritime Central Airways,3
459,Société Aérienne de Tr. Tropicaux,1
460,US Airlines,1
461,Japan Air Lines,9
462,North Continental Airlines (Robin Airlines),0
463,Fred Olsen Flyveselskap,1
464,Swedish Air Force,1
465,Morton Air Services,1
466,Military - Navy,1
467,Transportes Areos Nacionales,1
468,Airwork,2
469,Military - Pakistan Air Force,6
470,Phoenix Airlines,1
471,Private - de Havilland Aircraft,1
472,SAM Colombia,2
473,Aero Brasil,1
474,Union Aeromaritime de Transport,3
475,TABSO,2
476,Rutas Aéreas Nacionales SA,1
477,Syrian Air,4
478,Flying Tiger Line,11
479,Associated Air Transport,1
480,Lancashire Aircraft Corporation (Skyways),0
481,Air Outremer,1
482,UTA,3
483,Military - Egyptian Air Force,4
484,Orient Airways,4
485,u.s. Air Force,3
486,Transportes Aéreos Salvador,1
487,Central African Airways,3
488,Caribbean International Airways,1
489,Airways,453
490,Meteor Air,1
491,LACSA,2
492,LAN Chile,1
493,Aerovias Contreras,2
494,Transportes Aéreos Mexicanos,2
495,Resort Airlines,1
496,Compagnie Sila,1
497,British Commonwealth Pacific Airlines,1
498,Aviaco,11
499,Indian Airlines,35
500,Aviateca,6
501,Misair,1
502,Syrian Airways,2
503,Ariana Afghan Airlines,9
504,Czech Airlines,2
505,Zantop Air Transport,3
506,Aeronaves de Mexico,4
507,Autrex,2
508,"South African Airways, leased from British Overseas Airways",1
509,Trans Canada Air Lines / RCAF,1
510,LAN,12
511,Societe Indochinoise de Raviteillement,1
512,Darbhanga Aviation,1
513,Transportes Aereos Nacionales,1
514,Soc. de Tr. Aériens d'Extrême Orient,1
515,Air Vietnam (South Vietnam),0
516,TAA,7
517,TAM (Brazil),0
518,Northeast Airlines,5
519,Air Laos,2
520,Ceskoslovenské Aerolinie,2
521,Johnson Flying Service,1
522,Trans World Airlines / Castleton Inc.,1
523,Ontario Hydro,1
524,Interamericana de Aviacion,1
525,West African Airways,1
526,de Havilland Dove,1
527,Aaxico Airlines,3
528,Union des Transportes Aeriens,3
529,East African Airways,2
530,Associated Airways,2
531,Union Aéromaritime de Transport,1
532,Tigres Voladores,2
533,Lineas Areas Unidas,1
534,Military - U.S. Air Force / Military - U.S. Air Force,2
535,Union of Burma Airways,4
536,Currey Air Transport,1
537,Societe France Hydro,1
538,Pacific Western Airlines,4
539,Peninsular,1
540,Riddle Airlines,2
541,Cruzeiro Do Sud,1
542,Quebecair,2
543,Spartan Air Services,1
544,Scottish Airlines,3
545,Transport Aerien Intercontinentaux (France),0
546,Pakistan International Airlines,16
547,Starways,1
548,National Air Operators,1
549,Military - Royal Thai Air Force,5
550,Cordova Airlines,2
551,Piedmont,6
552,United Air Lines / Trans World Airlines,2
553,Jordan International Airlines,1
554,Continental Airlines,10
555,Britavia,1
556,Braathens,2
557,Aerovias Guest,1
558,Empresa Aviacion del Pacifico,1
559,AIDA,1
560,Lineas Aereas del Estado,2
561,Lanica,3
562,Douglas Aircraft,2
563,Japanese Air Force,2
564,Military - Philippine Air Force,8
565,Eagle Aviation,3
566,U.S. Overseas Airways,1
567,Pacific Western,6
568,Adastra Airways,1
569,Kenting Air,1
570,Military - United States Air Force,2
571,Sahsa Airlines,3
572,èkoda (India) Ltd,0
573,Lebanese International Airways,1
574,Transportes Aereos Mexicanos,1
575,Herfurtner Company,1
576,TAROM,2
577,Bristol Aeroplane Co.,1
578,Aquilla Airways,1
579,Straits Air Freight Express,1
580,Northern Wings,1
581,TAM (Bolivia),0
582,Military - U.S.  Air Force / Military - U.S. Navy,1
583,Réseau Aérien Interinsulaire,1
584,Silver City Airways,2
585,Military - U.S. Marine Corps/Military - U.S. Marine Corps,2
586,Military - U.S. Air Force/Military - U.S. Air Force,1
587,Transportes Aereos Orientales,1
588,AREA,2
589,United Air Lines / Military - U.S. Air Force,1
590,Capital Airlines / Military - Air National Guard,1
591,Dan-Air Services,1
592,Paraense Transportes Aéreos,2
593,All Nippon Airways,7
594,Independent Air Travel,1
595,Middle East Airlines,5
